,Player,Model_Odds,Favor,BetOnline.ag,Difference,Model_Probability,BetOnline.ag_Probability,Weight,WeightedValue
201,George Kittle,170.27027027027026,1,170.0,0.2702702702702595,0.37,0.37037037037037035,0.63,0.0002333333333333232
113,DeAndre Hopkins,222.5806451612903,1,220.0,2.580645161290306,0.31,0.3125,0.69,0.0017250000000000015
196,Ben Skowronek,1150.0,1,1100.0,50.0,0.08,0.08333333333333333,0.92,0.003066666666666661
56,Jalen Brooks,733.3333333333334,1,700.0,33.33333333333337,0.12,0.125,0.88,0.004400000000000004
59,Ryan Flournoy,1900.0,1,1700.0,200.0,0.05,0.05555555555555555,0.95,0.005277777777777772
144,Jonnu Smith,177.77777777777777,1,170.0,7.7777777777777715,0.36,0.37037037037037035,0.64,0.0066370370370370324
141,Dee Eskridge,2400.0,1,1900.0,500.0,0.04,0.05,0.96,0.009600000000000001
152,Johnny Mundt,488.2352941176471,1,450.0,38.23529411764707,0.16999999999999998,0.18181818181818182,0.8300000000000001,0.009809090909090927
42,Mike Gesicki,257.1428571428571,1,240.0,17.14285714285711,0.28,0.29411764705882354,0.72,0.010164705882352928
171,Jalin Hyatt,809.0909090909091,1,700.0,109.09090909090912,0.11,0.125,0.89,0.013349999999999999
33,Deven Thompkins,2400.0,1,1700.0,700.0,0.04,0.05555555555555555,0.96,0.01493333333333333
47,Isaiah Williams,2400.0,1,1700.0,700.0,0.04,0.05555555555555555,0.96,0.01493333333333333
6,Michael Wilson,334.78260869565213,1,300.0,34.78260869565213,0.23,0.25,0.77,0.015399999999999992
21,Amari Cooper,177.77777777777777,1,160.0,17.77777777777777,0.36,0.38461538461538464,0.64,0.015753846153846177
1,Marvin Harrison Jr.,177.77777777777777,1,160.0,17.77777777777777,0.36,0.38461538461538464,0.64,0.015753846153846177
27,Khalil Shakir,222.5806451612903,1,200.0,22.580645161290306,0.31,0.3333333333333333,0.69,0.016099999999999986
153,Jalen Nailor,455.55555555555554,1,400.0,55.55555555555554,0.18,0.2,0.8200000000000001,0.016400000000000015
65,KaVontae Turpin,525.0,1,450.0,75.0,0.16,0.18181818181818182,0.84,0.018327272727272727
25,Quintin Morris,1150.0,1,900.0,250.0,0.08,0.1,0.92,0.018400000000000003
131,Stone Smartt,3233.333333333333,1,1900.0,1333.333333333333,0.030000000000000002,0.05,0.97,0.0194
126,Tucker Fisk,1566.6666666666667,1,1100.0,466.66666666666674,0.06,0.08333333333333333,0.94,0.02193333333333333
44,Tanner Hudson,900.0,1,700.0,200.0,0.1,0.125,0.9,0.022499999999999996
191,Pat Freiermuth,354.54545454545456,1,300.0,54.54545454545456,0.22,0.25,0.78,0.0234
62,Luke Schoonmaker,354.54545454545456,1,300.0,54.54545454545456,0.22,0.25,0.78,0.0234
207,Pharaoh Brown,2400.0,1,1400.0,1000.0,0.04,0.06666666666666667,0.96,0.025599999999999998
177,Malachi Corley,566.6666666666667,1,450.0,116.66666666666674,0.15,0.18181818181818182,0.85,0.027045454545454553
48,Jordan Akins,1328.5714285714284,1,900.0,428.57142857142844,0.07,0.1,0.9299999999999999,0.027899999999999998
179,Jeremy Ruckert,1566.6666666666667,1,1000.0,566.6666666666667,0.06,0.09090909090909091,0.94,0.029054545454545458
106,Tim Jones,2400.0,1,1300.0,1100.0,0.04,0.07142857142857142,0.96,0.030171428571428564
155,Brandon Powell,1900.0,1,1100.0,800.0,0.05,0.08333333333333333,0.95,0.031666666666666655
30,David Moore,669.2307692307692,1,500.0,169.23076923076917,0.13,0.16666666666666666,0.87,0.03189999999999999
125,Will Dissly,426.31578947368416,1,325.0,101.31578947368416,0.19000000000000003,0.23529411764705882,0.8099999999999999,0.03668823529411762
213,Payne Durham,1900.0,1,1000.0,900.0,0.05,0.09090909090909091,0.95,0.038863636363636364
147,Jaylen Waddle,244.82758620689657,1,190.0,54.82758620689657,0.29,0.3448275862068966,0.71,0.03892758620689658
104,Evan Engram,354.54545454545456,1,270.0,84.54545454545456,0.22,0.2702702702702703,0.78,0.03921081081081082
199,Jacob Cowing,9900.0,1,1900.0,8000.0,0.01,0.05,0.99,0.0396
146,Jack Stoll,9900.0,1,1900.0,8000.0,0.01,0.05,0.99,0.0396
11,Kyle Pitts,400.0,1,300.0,100.0,0.2,0.25,0.8,0.039999999999999994
219,Trey Palmer,1150.0,1,700.0,450.0,0.08,0.125,0.92,0.0414
57,Brandin Cooks,376.1904761904762,1,280.0,96.1904761904762,0.21,0.2631578947368421,0.79,0.04199473684210526
216,Jalen McMillan,566.6666666666667,1,400.0,166.66666666666674,0.15,0.2,0.85,0.04250000000000001
28,Jalen Coker,566.6666666666667,1,400.0,166.66666666666674,0.15,0.2,0.85,0.04250000000000001
204,Eric Saubert,4900.0,1,1400.0,3500.0,0.02,0.06666666666666667,0.98,0.04573333333333333
10,Darnell Mooney,284.6153846153846,1,210.0,74.61538461538458,0.26,0.3225806451612903,0.74,0.04630967741935482
200,Jauan Jennings,316.6666666666667,1,230.0,86.66666666666669,0.24,0.30303030303030304,0.76,0.047903030303030315
140,Odell Beckham Jr.,1566.6666666666667,1,800.0,766.6666666666667,0.06,0.1111111111111111,0.94,0.04804444444444444
205,AJ Barner,900.0,1,550.0,350.0,0.1,0.15384615384615385,0.9,0.048461538461538466
134,Tyler Johnson,2400.0,1,1000.0,1400.0,0.04,0.09090909090909091,0.96,0.04887272727272727
197,Darnell Washington,809.0909090909091,1,500.0,309.0909090909091,0.11,0.16666666666666666,0.89,0.05043333333333332
183,Grant Calcaterra,400.0,1,280.0,120.0,0.2,0.2631578947368421,0.8,0.05052631578947367
116,Justin Watson,1566.6666666666667,1,750.0,816.6666666666667,0.06,0.11764705882352941,0.94,0.05418823529411764
225,Nick Vannett,1566.6666666666667,1,750.0,816.6666666666667,0.06,0.11764705882352941,0.94,0.05418823529411764
209,Tyler Lockett,488.2352941176471,1,325.0,163.23529411764707,0.16999999999999998,0.23529411764705882,0.8300000000000001,0.05419411764705884
224,Calvin Ridley,257.1428571428571,1,180.0,77.14285714285711,0.28,0.35714285714285715,0.72,0.05554285714285713
181,Kenny Yeboah,9900.0,1,1400.0,8500.0,0.01,0.06666666666666667,0.99,0.0561
5,Tip Reiman,9900.0,1,1400.0,8500.0,0.01,0.06666666666666667,0.99,0.0561
170,Greg Dulcich,2400.0,1,900.0,1500.0,0.04,0.1,0.96,0.057600000000000005
120,Ramel Keyton,3233.333333333333,1,1000.0,2233.333333333333,0.030000000000000002,0.09090909090909091,0.97,0.05908181818181819
166,Foster Moreau,900.0,1,500.0,400.0,0.1,0.16666666666666666,0.9,0.05999999999999999
215,Rakim Jarrett,1566.6666666666667,1,700.0,866.6666666666667,0.06,0.125,0.94,0.0611
151,Justin Jefferson,138.0952380952381,1,-111.0,249.0952380952381,0.42,0.5260663507109005,0.5800000000000001,0.061518483412322286
112,Mecole Hardman,4900.0,1,1100.0,3800.0,0.02,0.08333333333333333,0.98,0.06206666666666666
60,CeeDee Lamb,222.5806451612903,1,150.0,72.5806451612903,0.31,0.4,0.69,0.06210000000000001
51,David Njoku,334.78260869565213,1,220.0,114.78260869565213,0.23,0.3125,0.77,0.063525
40,Jermaine Burton,1900.0,1,750.0,1150.0,0.05,0.11764705882352941,0.95,0.06426470588235293
121,Michael Mayer,1328.5714285714284,1,600.0,728.5714285714284,0.07,0.14285714285714285,0.9299999999999999,0.06775714285714284
206,Jake Bobo,3233.333333333333,1,900.0,2333.333333333333,0.030000000000000002,0.1,0.97,0.0679
187,Ainias Smith,3233.333333333333,1,900.0,2333.333333333333,0.030000000000000002,0.1,0.97,0.0679
169,Cedrick Wilson Jr.,1566.6666666666667,1,650.0,916.6666666666667,0.06,0.13333333333333333,0.94,0.06893333333333333
129,Joshua Palmer,614.2857142857142,1,350.0,264.2857142857142,0.14,0.2222222222222222,0.86,0.07071111111111109
135,Cooper Kupp,222.5806451612903,1,140.0,82.5806451612903,0.31,0.4166666666666667,0.69,0.07360000000000001
185,Jahan Dotson,900.0,1,450.0,450.0,0.1,0.18181818181818182,0.9,0.07363636363636364
175,Davante Adams,257.1428571428571,1,160.0,97.14285714285711,0.28,0.38461538461538464,0.72,0.07532307692307692
8,Drake London,244.82758620689657,1,150.0,94.82758620689657,0.29,0.4,0.71,0.07810000000000003
130,Jalen Reagor,4900.0,1,900.0,4000.0,0.02,0.1,0.98,0.0784
115,JuJu Smith-Schuster,1150.0,1,500.0,650.0,0.08,0.16666666666666666,0.92,0.07973333333333332
132,Davis Allen,1150.0,1,500.0,650.0,0.08,0.16666666666666666,0.92,0.07973333333333332
111,Noah Gray,669.2307692307692,1,350.0,319.23076923076917,0.13,0.2222222222222222,0.87,0.08023333333333332
64,Jalen Tolbert,566.6666666666667,1,300.0,266.66666666666674,0.15,0.25,0.85,0.085
227,Josh Whyle,3233.333333333333,1,750.0,2483.333333333333,0.030000000000000002,0.11764705882352941,0.97,0.08501764705882353
110,Parker Washington,525.0,1,280.0,245.0,0.16,0.2631578947368421,0.84,0.08665263157894736
178,Xavier Gipson,2400.0,1,650.0,1750.0,0.04,0.13333333333333333,0.96,0.08959999999999999
220,Sterling Shepard,400.0,1,220.0,180.0,0.2,0.3125,0.8,0.09
210,DK Metcalf,300.0,1,170.0,130.0,0.25,0.37037037037037035,0.75,0.09027777777777776
221,Tyler Boyd,566.6666666666667,1,280.0,286.66666666666674,0.15,0.2631578947368421,0.85,0.09618421052631577
149,Jordan Addison,334.78260869565213,1,180.0,154.78260869565213,0.23,0.35714285714285715,0.77,0.0979
52,Jamari Thrash,1900.0,1,550.0,1350.0,0.05,0.15384615384615385,0.95,0.09865384615384616
58,Jake Ferguson,525.0,1,260.0,265.0,0.16,0.2777777777777778,0.84,0.09893333333333333
45,Andrei Iosivas,809.0909090909091,1,350.0,459.0909090909091,0.11,0.2222222222222222,0.89,0.09987777777777777
202,Ricky Pearsall,809.0909090909091,1,350.0,459.0909090909091,0.11,0.2222222222222222,0.89,0.09987777777777777
137,Colby Parkinson,1011.1111111111112,1,400.0,611.1111111111112,0.08999999999999998,0.2,0.91,0.10010000000000002
36,DeAndre Carter,9900.0,1,750.0,9150.0,0.01,0.11764705882352941,0.99,0.10657058823529413
3,Zay Jones,9900.0,1,750.0,9150.0,0.01,0.11764705882352941,0.99,0.10657058823529413
49,Jerry Jeudy,354.54545454545456,1,180.0,174.54545454545456,0.22,0.35714285714285715,0.78,0.10697142857142858
122,Jakobi Meyers,354.54545454545456,1,180.0,174.54545454545456,0.22,0.35714285714285715,0.78,0.10697142857142858
114,Travis Kelce,270.3703703703703,1,140.0,130.37037037037032,0.27,0.4166666666666667,0.73,0.10706666666666667
41,Ja'Marr Chase,138.0952380952381,1,-167.0,305.0952380952381,0.42,0.6254681647940075,0.5800000000000001,0.11917153558052435
43,Tee Higgins,270.3703703703703,1,130.0,140.37037037037032,0.27,0.43478260869565216,0.73,0.12029130434782606
189,Johnny Wilson,9900.0,1,650.0,9250.0,0.01,0.13333333333333333,0.99,0.1221
22,Mack Hollins,669.2307692307692,1,250.0,419.23076923076917,0.13,0.2857142857142857,0.87,0.13547142857142855
190,Calvin Austin III,733.3333333333334,1,260.0,473.33333333333337,0.12,0.2777777777777778,0.88,0.13884444444444446
180,Garrett Wilson,426.31578947368416,1,170.0,256.31578947368416,0.19000000000000003,0.37037037037037035,0.8099999999999999,0.14609999999999995
188,DeVonta Smith,400.0,1,160.0,240.0,0.2,0.38461538461538464,0.8,0.1476923076923077
168,Marquez Valdes-Scantling,614.2857142857142,1,220.0,394.2857142857142,0.14,0.3125,0.86,0.14834999999999998
182,A.J. Brown,270.3703703703703,1,100.0,170.37037037037032,0.27,0.5,0.73,0.1679
143,Tyreek Hill,300.0,1,110.0,190.0,0.25,0.47619047619047616,0.75,0.16964285714285712
226,Nick Westbrook-Ikhine,614.2857142857142,1,190.0,424.2857142857142,0.14,0.3448275862068966,0.86,0.17615172413793104
218,Cade Otton,455.55555555555554,1,150.0,305.55555555555554,0.18,0.4,0.8200000000000001,0.18040000000000003
165,Juwan Johnson,2400.0,1,325.0,2075.0,0.04,0.23529411764705882,0.96,0.18748235294117646
24,Dawson Knox,1328.5714285714284,1,200.0,1128.5714285714284,0.07,0.3333333333333333,0.9299999999999999,0.24489999999999995
194,George Pickens,525.0,1,100.0,425.0,0.16,0.5,0.84,0.28559999999999997
