,Player,Model_Odds,Favor,FanDuel,Difference,Model_Probability,FanDuel_Probability,Weight,WeightedValue
252,Tylan Wallace,354.54545454545456,1,1700.0,-1345.4545454545455,0.22,0.05555555555555555,0.78,-0.12826666666666667
124,Jalin Hyatt,400.0,1,1700.0,-1300.0,0.2,0.05555555555555555,0.8,-0.11555555555555558
260,Wan'Dale Robinson,222.5806451612903,1,550.0,-327.4193548387097,0.31,0.15384615384615385,0.69,-0.10774615384615382
207,Pat Freiermuth,143.90243902439025,1,330.0,-186.09756097560975,0.41,0.23255813953488372,0.5900000000000001,-0.1046906976744186
146,Josh Whyle,426.31578947368416,1,1200.0,-773.6842105263158,0.19000000000000003,0.07692307692307693,0.8099999999999999,-0.09159230769230771
59,Darius Slayton,284.6153846153846,1,600.0,-315.3846153846154,0.26,0.14285714285714285,0.74,-0.0866857142857143
203,Noah Gray,222.5806451612903,1,390.0,-167.4193548387097,0.31,0.20408163265306123,0.69,-0.07308367346938774
192,Mike Williams,300.0,1,550.0,-250.0,0.25,0.15384615384615385,0.75,-0.07211538461538461
18,Ben Skowronek,669.2307692307692,1,2000.0,-1330.769230769231,0.13,0.047619047619047616,0.87,-0.07167142857142858
56,Daniel Bellinger,525.0,1,1200.0,-675.0,0.16,0.07692307692307693,0.84,-0.06978461538461538
177,Malik Nabers,156.4102564102564,1,260.0,-103.58974358974359,0.39,0.2777777777777778,0.61,-0.06845555555555556
24,Brevyn Spann-Ford,733.3333333333334,1,2200.0,-1466.6666666666665,0.12,0.043478260869565216,0.88,-0.06733913043478261
54,Dalton Schultz,222.5806451612903,1,370.0,-147.4193548387097,0.31,0.2127659574468085,0.69,-0.06709148936170212
175,Malachi Corley,566.6666666666667,1,1300.0,-733.3333333333333,0.15,0.07142857142857142,0.85,-0.06678571428571428
6,Alec Pierce,300.0,1,500.0,-200.0,0.25,0.16666666666666666,0.75,-0.0625
193,Mo Alie-Cox,566.6666666666667,1,1200.0,-633.3333333333333,0.15,0.07692307692307693,0.85,-0.06211538461538461
92,Evan Engram,185.7142857142857,1,290.0,-104.2857142857143,0.35000000000000003,0.2564102564102564,0.6499999999999999,-0.060833333333333364
122,Jalen Tolbert,354.54545454545456,1,600.0,-245.45454545454544,0.22,0.14285714285714285,0.78,-0.06017142857142858
191,Mike Gesicki,270.3703703703703,1,410.0,-139.62962962962968,0.27,0.19607843137254902,0.73,-0.05396274509803923
99,Greg Dortch,488.2352941176471,1,850.0,-361.7647058823529,0.16999999999999998,0.10526315789473684,0.8300000000000001,-0.053731578947368415
258,Tyreek Hill,-122.22222222222224,-1,130.0,-252.22222222222223,0.55,0.43478260869565216,0.44999999999999996,-0.05184782608695654
85,Drew Sample,566.6666666666667,1,1000.0,-433.33333333333326,0.15,0.09090909090909091,0.85,-0.05022727272727272
102,Hunter Henry,203.030303030303,1,290.0,-86.969696969697,0.33,0.2564102564102564,0.6699999999999999,-0.049305128205128224
114,Jake Ferguson,163.15789473684208,1,230.0,-66.84210526315792,0.38000000000000006,0.30303030303030304,0.6199999999999999,-0.04772121212121214
163,Khalil Shakir,122.22222222222224,1,175.0,-52.77777777777776,0.45,0.36363636363636365,0.55,-0.04750000000000001
199,Nico Collins,-127.2727272727273,-1,120.0,-247.2727272727273,0.56,0.45454545454545453,0.43999999999999995,-0.046400000000000025
7,Allen Lazard,316.6666666666667,1,450.0,-133.33333333333331,0.24,0.18181818181818182,0.76,-0.04421818181818181
182,Marvin Mims Jr.,300.0,1,420.0,-120.0,0.25,0.19230769230769232,0.75,-0.04326923076923076
3,Adonai Mitchell,566.6666666666667,1,900.0,-333.33333333333326,0.15,0.1,0.85,-0.04249999999999999
28,Brock Wright,669.2307692307692,1,1100.0,-430.76923076923083,0.13,0.08333333333333333,0.87,-0.04060000000000001
241,Tip Reiman,566.6666666666667,1,850.0,-283.33333333333326,0.15,0.10526315789473684,0.85,-0.038026315789473686
9,Amari Cooper,138.0952380952381,1,180.0,-41.9047619047619,0.42,0.35714285714285715,0.5800000000000001,-0.03645714285714285
187,Michael Pittman Jr.,233.33333333333337,1,300.0,-66.66666666666663,0.3,0.25,0.7,-0.03499999999999999
61,Darnell Washington,669.2307692307692,1,1000.0,-330.76923076923083,0.13,0.09090909090909091,0.87,-0.03400909090909091
150,Julian Hill,733.3333333333334,1,1000.0,-266.66666666666663,0.12,0.09090909090909091,0.88,-0.025599999999999994
158,Kendrick Bourne,354.54545454545456,1,430.0,-75.45454545454544,0.22,0.18867924528301888,0.78,-0.024430188679245273
247,Trey McBride,150.0,1,175.0,-25.0,0.4,0.36363636363636365,0.6,-0.021818181818181823
98,Grant Calcaterra,455.55555555555554,1,550.0,-94.44444444444446,0.18,0.15384615384615385,0.8200000000000001,-0.021446153846153837
216,Rashod Bateman,222.5806451612903,1,250.0,-27.419354838709694,0.31,0.2857142857142857,0.69,-0.016757142857142866
20,Brandin Cooks,426.31578947368416,1,470.0,-43.68421052631584,0.19000000000000003,0.17543859649122806,0.8099999999999999,-0.011794736842105295
140,Jonnu Smith,185.7142857142857,1,200.0,-14.285714285714306,0.35000000000000003,0.3333333333333333,0.6499999999999999,-0.010833333333333365
222,Romeo Doubs,185.7142857142857,1,195.0,-9.285714285714306,0.35000000000000003,0.3389830508474576,0.6499999999999999,-0.007161016949152573
94,Garrett Wilson,150.0,1,155.0,-5.0,0.4,0.39215686274509803,0.6,-0.0047058823529411925
178,Malik Washington,488.2352941176471,1,490.0,-1.7647058823529278,0.16999999999999998,0.1694915254237288,0.8300000000000001,-0.00042203389830507815
