,Player,TD_Likelihood,Model_Odds,Favor,DraftKings,FanDuel,BetOnline.ag,BetRivers,BetMGM
0,Greg Dortch,0.08,1150.0,1,,,,,
1,Marvin Harrison Jr.,0.39,156.4102564102564,1,,,,,
2,Elijah Higgins,0.04,2400.0,1,,,,,
3,Zay Jones,0.12,733.3333333333334,1,,,,,
4,Trey McBride,0.42,138.0952380952381,1,,,,,
5,Tip Reiman,0.18,455.55555555555554,1,,,,,
6,Michael Wilson,0.23,334.78260869565213,1,,,,,
7,Chris Blair,0.06,1566.6666666666667,1,,,,,
8,KhaDarel Hodge,0.01,9900.0,1,,,,,
9,Drake London,0.18,455.55555555555554,1,,,,,
10,Ray-Ray McCloud III,0.24,316.6666666666667,1,,,,,
11,Darnell Mooney,0.45,122.22222222222223,1,,,,,
12,Kyle Pitts,0.17,488.2352941176471,1,,,,,
13,Casey Washington,0.11,809.0909090909091,1,,,,,
14,Charlie Woerner,0.18,455.55555555555554,1,,,,,
15,Nelson Agholor,0.1,900.0,1,350.0,,350.0,,500.0
16,Mark Andrews,0.46,117.39130434782606,1,165.0,155.0,160.0,165.0,150.0
17,Rashod Bateman,0.21,376.1904761904762,1,130.0,120.0,130.0,143.0,120.0
18,Zay Flowers,0.42,138.0952380952381,1,130.0,120.0,130.0,130.0,115.0
19,Isaiah Likely,0.13,669.2307692307692,1,270.0,270.0,270.0,240.0,260.0
20,Devontez Walker,0.09,1011.1111111111111,1,,700.0,,750.0,650.0
21,Tylan Wallace,0.15,566.6666666666667,1,475.0,450.0,450.0,550.0,450.0
22,Keon Coleman,0.18,455.55555555555554,1,,,,,
23,Amari Cooper,0.38,163.15789473684208,1,,,,,
24,Mack Hollins,0.06,1566.6666666666667,1,,,,,
25,Dalton Kincaid,0.17,488.2352941176471,1,,,,,
26,Dawson Knox,0.08,1150.0,1,,,,,
27,Quintin Morris,0.02,4900.0,1,,,,,
28,Curtis Samuel,0.08,1150.0,1,,,,,
29,Khalil Shakir,0.19,426.31578947368416,1,,,,,
30,Dan Chisena,0.1,900.0,1,,,,,
31,Jalen Coker,0.26,284.6153846153846,1,,,,,
32,Feleipe Franks,0.01,9900.0,1,,,,,
33,Velus Jones Jr.,0.01,9900.0,1,,,,,
34,Xavier Legette,0.19,426.31578947368416,1,,,,,
35,David Moore,0.09,1011.1111111111111,1,,,,,
36,Ja'Tavion Sanders,0.04,2400.0,1,,,,,
37,Adam Thielen,0.23,334.78260869565213,1,,,,,
38,Deven Thompkins,0.01,9900.0,1,,,,,
39,Tommy Tremble,0.09,1011.1111111111111,1,,,,,
40,Keenan Allen,0.28,257.1428571428571,1,210.0,175.0,210.0,175.0,
41,Gerald Everett,0.09,1011.1111111111111,1,1100.0,2700.0,1100.0,2200.0,
42,Cole Kmet,0.14,614.2857142857142,1,320.0,420.0,300.0,350.0,
43,DJ Moore,0.43,132.55813953488374,1,215.0,180.0,210.0,155.0,
44,Rome Odunze,0.28,257.1428571428571,1,300.0,270.0,300.0,230.0,
45,Jermaine Burton,0.03,3233.3333333333335,1,,,,,
46,Ja'Marr Chase,0.57,-132.5581395348837,-1,,,,,
47,Mike Gesicki,0.15,566.6666666666667,1,,,,,
48,Cam Grandy,0.11,809.0909090909091,1,,,,,
49,Tee Higgins,0.24,316.6666666666667,1,,,,,
50,Tanner Hudson,0.12,733.3333333333334,1,,,,,
51,Andrei Iosivas,0.12,733.3333333333334,1,,,,,
52,Drew Sample,0.24,316.6666666666667,1,,,,,
53,Isaiah Williams,0.01,9900.0,1,,,,,
54,Jordan Akins,0.05,1900.0,1,,,,,
55,Jerry Jeudy,0.48,108.33333333333334,1,,,,,
56,Elijah Moore,0.38,163.15789473684208,1,,,,,
57,David Njoku,0.44,127.27272727272728,1,,,,,
58,James Proche II,0.12,733.3333333333334,1,,,,,
59,Jamari Thrash,0.03,3233.3333333333335,1,,,,,
60,Cedric Tillman,0.3,233.33333333333337,1,,,,,
61,Blake Whiteheart,0.1,900.0,1,,,,,
62,Michael Woods II,0.13,669.2307692307692,1,,,,,
63,Jalen Brooks,0.06,1566.6666666666667,1,,,,,
64,Brandin Cooks,0.38,163.15789473684208,1,,,,,
65,Jake Ferguson,0.3,233.33333333333337,1,,,,,
66,Ryan Flournoy,0.1,900.0,1,,,,,
67,CeeDee Lamb,0.24,316.6666666666667,1,,,,,
68,Jonathan Mingo,0.04,2400.0,1,,,,,
69,Luke Schoonmaker,0.07,1328.5714285714284,1,,,,,
70,Brevyn Spann-Ford,0.02,4900.0,1,,,,,
71,Jalen Tolbert,0.29,244.82758620689657,1,,,,,
72,KaVontae Turpin,0.2,400.0,1,,,,,
73,Nate Adkins,0.06,1566.6666666666667,1,,,,,
74,Troy Franklin,0.1,900.0,1,,,,,
75,Lil'Jordan Humphrey,0.05,1900.0,1,,,,,
76,Lucas Krull,0.08,1150.0,1,,,,,
77,Marvin Mims Jr.,0.16,525.0,1,,,,,
78,Courtland Sutton,0.34,194.11764705882354,1,,,,,
79,Adam Trautman,0.08,1150.0,1,,,,,
80,Devaughn Vele,0.24,316.6666666666667,1,,,,,
81,Tom Kennedy,0.061,1566.6666666666667,1,,,,,
82,Sam LaPorta,0.35,185.71428571428572,1,,,,,
83,Tim Patrick,0.13,669.2307692307692,1,,,,,
84,Allen Robinson,0.08,1150.0,1,,,,,
85,Amon-Ra St. Brown,0.37,170.27027027027026,1,,,,,
86,Jameson Williams,0.33,203.030303030303,1,,,,,
87,Brock Wright,0.03,3233.3333333333335,1,,,,,
88,Shane Zylstra,0.07,1328.5714285714284,1,,,,,
89,Romeo Doubs,0.38,163.15789473684208,1,,,,,
90,Malik Heath,0.06,1566.6666666666667,1,,,,,
91,Tucker Kraft,0.3,233.33333333333337,1,,,,,
92,Bo Melton,0.01,9900.0,1,,,,,
93,Luke Musgrave,0.13,669.2307692307692,1,,,,,
